Emoticon,Score
:-),1.0
:),1.0
:-],1.0
:],1.0
(-:,1.0
(:,1.0
[-:,1.0
[:,1.0
:-},1.0
:},1.0
{-:,1.0
{:,1.0
=],1.0
=),1.0
[=,1.0
(=,1.0
c:,1.0
C:,1.0
:-3,1.0
:3,1.0
:->,1.0
<:,1.0
:>,1.0
8-),1.0
(-8,1.0
:^),1.0
☺️,1.0
🙂,1.0
😊,1.0
😀,1.0
😁,1.0
:-D,1.0
:D,1.0
8-D,1.0
8D,1.0
x-D,1.0
XD,1.0
xD,1.0
X-D,1.0
=D,1.0
=3,1.0
B^D,1.0
:-P,1.0
:P,1.0
;-),1.0
;),1.0
*-),1.0
*),1.0
;-],1.0
;],1.0
;^),1.0
":-,",1.0
;D,1.0
;},1.0
;-},1.0
<3,1.0
❤️,1.0
😃,1.0
😄,1.0
😆,1.0
😍,1.0
😂,1.0
😗,1.0
😙,1.0
😚,1.0
😘,1.0
😉,1.0
🙌,1.0
😜,1.0
😇,1.0
👼,1.0
😎,1.0
😏,1.0
:-)),1.0
((-:,1.0
:'-),1.0
:'),1.0
(':,1.0
(-':,1.0
😺,1.0
😸,1.0
😹,1.0
😻,1.0
😽,1.0
🐱,1.0
✌️,1.0
😋,1.0
😛,1.0
😝,1.0
🙃,1.0
🤗,1.0
🤙,1.0
🤣,1.0
🤤,1.0
💞,1.0
💖,1.0
💕,1.0
👏,1.0
🎉,1.0
👍,1.0
🔝,1.0
😡,-1.0
😠,-1.0
😭,-1.0
🤦,-1.0
🤷,-1.0
😞,-1.0
👎,-1.0
🤢,-1.0
🙄,-1.0
🤔,-1.0
🙁,-1.0
😰,-1.0
😱,-1.0
😵,-1.0
😶,-1.0
😷,-1.0
😿,-1.0
😢,-1.0
😣,-1.0
😤,-1.0
😥,-1.0
😦,-1.0
😧,-1.0
😨,-1.0
😩,-1.0
😪,-1.0
😫,-1.0
😯,-1.0
😐,-1.0
😑,-1.0
😒,-1.0
😓,-1.0
😔,-1.0
😕,-1.0
😖,-1.0
😟,-1.0
😌,-1.0
🙀,-1.0
😾,-1.0
:o),-1.0
:c),-1.0
:c,-1.0
:C,-1.0
:-(,-1.0
)-:,-1.0
:(,-1.0
):,-1.0
:-c,-1.0
:-<,-1.0
>-:,-1.0
:<,-1.0
>:,-1.0
:-[,-1.0
]-:,-1.0
]:,-1.0
:[,-1.0
:-||,-1.0
>:[,-1.0
]:<,-1.0
:{,-1.0
}:,-1.0
}-:,-1.0
:-{,-1.0
:@,-1.0
>:(,-1.0
):<,-1.0
:'-(,-1.0
:'(,-1.0
)':,-1.0
)-':,-1.0
D-':,-1.0
D:<,-1.0
D:,-1.0
D8,-1.0
D;,-1.0
D=,-1.0
DX,-1.0
☹️,-1.0
🤕,-1.0
🤨,-1.0
>.<,-1.0
-_-,-1.0
=_=,-1.0
>_<,-1.0
</3,-1.0
<\3,-1.0
💔,-1.0
:-|,-1.0
:|,-1.0
:-/,-1.0
:/,-1.0
:-.,-1.0
>:\,-1.0
>:/,-1.0
:\,-1.0
=/,-1.0
=\,-1.0
:L,-1.0
=L,-1.0
:S,-1.0
