"tweet","sentiment"
"Can I get a 'what?'  'what?'...the baby sent some Twitter messages on my behalf",2
" amy meredith has a soccer team? well i also have news about soccer. my team won aswell!!  ****",3
" i chewed up a Starbucks and a Subway gift card at Christmas time, I got in big trouble. I not allowed near purse.",1
" the kid that got a second chance shudnt have. mowgli didnt. gutted",1
"at school right now",2
"Just when I thought albany couldn`t any worse my ao`s leave me",1
" Chowder is the ****!!!!!!",1
" who cares its hockey",1
" thats because im getting a new phone since my other phone dont work at all",2
"_distel Maybe u have natural ability for languages  I envy u on that !!",1
" Laura elle s`en fou elle don`t like the french fans",1
" again, surely the uploading could wait until you got home?  I`m all about enjoying the party when you can.",3
"Oh hell, I forgot the non-alcoholic cider for Monday`s dinner. MPP is teetotaler. Now must drive to Waupoos. Have 7 cases of wine in car.",1
"no more arrested development. i am sad.",1
"Dad`s retelling his saskatoon m&g story, love hearing what the guys said to him  I never heard any of it",3
"One of these times I`m going to have the self-awareness NOT to ask one of the principle mourners at a wake how they`re doing.",2
"oh no somebody hacked into my email  i`m scared now. what the ****!!",1
"finally made it to phoenix!  I am home.",2
"I think I did okay on my Math Test today. I really really really hope I did. If I didn`t I swear I will get SO mad at myslef.",2
"Month end... still stuck in my office waiting for the stragglers to get there s#!t together.",1
"oh my gosh!!! hollyoaks was so sad tonite",1
"hey guys = ) i went to Jenny`s house today!! i had so much fun    so how about everyone else? what did u guys doo?",3
"I miss my 8703",1
"45 minutes until im off from work. I guess i`ll go back to work in 15 minutes. It`s slow today thank god for one of those days",3
"confused on why and how people pose as others on twitter. I mean they really do their homework on peoples lives to imitate them. it`s sad",1
"i just looove my bf  u are awesoome!!!! [hannah montana the movie was amazing  best movie ever!!]  // cool http://gykd.net",3
"Listening to Music Box.  When Mariah could still sing",2
"sad day... told my students this is my last year here... a lot of crying since..",1
" yeah well a deadline is in T-9 hours, that`s architecture for you, oh well... mmm that coffee sounds like a good idea",3
" You mustv`e read my mind. I WAS going, but now it`s thunderstorming AND I have to pick up the boys from the bus stop",2
" I really haven`t got the hang of these hash tags have I?",2
"I`m new at this and I don`t have any friends now!  please comment !",2
" hahahahaha, I have a day off",3
"Worried about friend",1
"omg... i want full JB- hey baby song",2
"Had a nice concert yesterday. Nice location, nice people, it was great. But I have a bad cold since yesterday night  Being sick sucks!",3
" yeeeeah . . . and it was in into too  seen Empire top 100 computer games? http://www.empireonline.com/100greatestgames/",2
"Oowweee!!! China club wuz poppin!!! Lipstic n Pumps were in full effect!",3
"Why do I look so awesome in heels yet am so afraid of them?",2
"_Heidi_V  Thank you pretty lady.",3
"Running in the rain",2
" anytime from now on lol. i`m just reading and stuffs",2
"Thank you, Gerbino, for forcing us starting junior year to make survey mockups. Let me tell you how super helpful this skill has been.",3
"Got a right bad headache",1
" How could you go to Cali without me??? I`m sad.",1
"$RZ Hope so.  Time will tell.  Good luck   $$",3
"`Don`t call your mother, `cause now we`re partners in crime.` -KP",2
"awesome milkshakes, i had areo mint,. we just blended it up, it was like a lumpy smoothie  so then we did some more chattering and ...",3
"Im eating a salad  and rember to comment my new myspace pictures plz?",2
" ooh how is Milan? i could do with a holiday! Bfoyf is off to Geneva today visiting fam so ive got a weekend on my own",2
" no, silly, to shoot other shoppers with  though a taser is probably the more humane penalty for 12 items in 5 item line",1
"writing out mother`s day cards to mom, aunts, and AMYYYY can`t wait for her to be a mommy",3
" i think im just going to wind up going Home and go to bed",2
": I saw US Postal was hiring, but once I was done filling out the pre-application thingy it didn`t show me jobs open in the area.",1
"hanging out in myrtle beach as a married man",2
"I am watchinggg the new video of  Its sooo good  Addicted!",3
" It`s been interesting today... to say the least. Overall a good day",3
"cant sleep  so tired! goodnight... maybe :/",1
"The Barry Gibb Talk show!!!!!",2
"I want to cry at the thought of the NBA season being almost over  NEXT YEAR MIAMI!!!!!!!!!!!!",1
" Thanks for follow. Was just adding you from your twitter page, after commenting your blog",3
"Goodmorning tweedles  very happy mood, i think i will always be after this past weekend. lol vids of the `BEYONCE WEEKND` coming soon.",3
"awwww..I love him! His car was soooo CUTE tonight!! I love me some Carl..My 10yr old is sad now..LOL..",2
" good morning hun! i loved the movie what happens in vegas~ it is such a good movie",3
"is so bored...",1
"_N - me too!! I don`t want to ooze while speaking either!  (why do I have lame jokes about wiping social media off my shoe? lol)",2
"its getting really windy out there",2
"I think I have hayfever. Not sure due to wearing next to nothing in horrific weather on wed.",1
" sorry I missed you . Saw you across the way, I was busy taking pix-abt 4:15 came to meet U-but U were gone",1
"it`s Blockbuster week in New Zealand - 'Wolverine' tomorrow followed by 'Star Trek' on Thursday!",3
"haha moms back today from a weekend away , her first words, ` whys the house so dirty?` i love life ..",2
"...No more adventure time",2
" #sometimes also emoticons sometimes",2
"I have to go clothes shopping tomorrow  I hate it, but I have a serious 'clothes falling apart' situation here.",1
"Fashion Show is done & only one slip...now cooking & having a glass of wine or two",2
" just a concert i can`t go to due to trials",2
"  Yah, they have footlong sausage too mah. But Halal place..piggy sausages are bigger",2
"Yes man was good",3
"so, why the hell are we going to school for 2 hours next monday and tuesday...dumb snow days and thier lame rules...my mom making me go",1
"went to the dmv today.....some things never change",1
" haha this tripped me up once when I was talking to Harvard - I read it as an aussie automatically - came off as an idiot",1
"Slowly getting ready for work",2
" (duh typo error) part 2: social networking??.. there isn`t even room for people",1
" ok.... tx  it`s so worth the wait! lol...***",3
" oof. perhaps it`s time to start a #moronmonday shout-out meme",2
" what have you been up to ?",2
"_pooh what kind of party do we got going now?",2
"Made it home..Night my twitties",2
" Yes - it`s an article I wrote on my blog a while ago.",2
"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",2
"I need followers!!!",2
"Lovely walk this morning with the missus; drizzle didn`t matter",3
"_Atticus Thank you",3
" Rest is important, but like everything else don`t over do it.",3
"Flypside - When it was good..i must creat my presentation in english  by guys ?",3
"The 'Catch Me If You Can' DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.",3
"...celebrated by spilling half my soup. Hello, 40 calorie lunch.    Can it be the weekend now, please?",2
"Happy Star Wars Day, may the 4th be with you  my lil` 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",3
" not there but wish I were",2
"_berra happy bday stevie bee...and if u want followers u have to get a little more tweety  may babies r the best! i`m the 12th",3
"Is up so early and proppa shattered and knackered",1
"My dad is trying to force me to learn to drive. I don`t like doing things I`m not good at in public",1
"tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it",2
"Yay, I should be able to make it to 700 updates tonight  lame compared to other ppls i know lol",2
" I forgot about it and I already ate lunch  so I guess I`m not going.",2
"Hitting the (fairly empty) shops in Orlando! Off to downtown Disney later  http://tinyurl.com/cdsuws",1
"  I know... just when I was starting to think this break-up was gonna have me up all night tossin and turnin.. no ma`am!",2
" Can I have your old one?",2
" OOuUch!...good luck",3
"why I love so much, why your make me smile all the time? why your so special but i cant have u  ? I get scared to try.",2
"and egg whites, with 7 grain toast. YUP!",2
" sold, so i hit cash and just took the tax out of my tips. but then my drawer ended up being 5 dollars short  idk if its cause",1
"http://twitpic.com/670rw - i miss my puppy",1
"is working 4 to close",2
" how come u all don`t seem to excited to play in DC????",1
"  I know... he`s mad at us... :`(",1
" Gotta love skype! Make sure you get their new update!",3
"can`t believe he has to wait till October to see 'Up!' when Americans get to see it this weekend.",1
"i have officially hit the wall, totally nonfunctionalproductive at work",1
"With E3 coming up the worst possible thing happened. No not swine flu! not AIDS! RROD!!!!!!!!!!!!!!",1
"I saw the sun..... but then I blink and it was gone",1
"sitting in the car with my cat. he keeps meowing and i feel so bad",1
" Or your mobile doesn`t like me",1
"_ no idea what that means bb",1
" thanks!! Yes!! A lot!",3
"goodnight and good bye to all of you, hope you have the best of dreams",3
" there`s nothing wrong with having a quiet day... it gives you more time to listen",3
"I forgot I moved 100 east...make that 8 hours home.",2
